Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Type,Size
1,2010-02-05,42.31,2.572,211.0963582,8.106,False,A,151315
1,2010-02-12,38.51,2.548,211.2421698,8.106,True,A,151315
1,2010-02-19,39.93,2.514,211.2891429,8.106,False,A,151315
1,2010-02-26,46.63,2.561,211.3196429,8.106,False,A,151315
1,2010-03-05,46.5,2.625,211.3501429,8.106,False,A,151315
1,2010-03-12,57.79,2.667,211.3806429,8.106,False,A,151315
1,2010-03-19,54.58,2.72,211.215635,8.106,False,A,151315
1,2010-03-26,51.45,2.732,211.0180424,8.106,False,A,151315
1,2010-04-02,62.27,2.719,210.8204499,7.808,False,A,151315
1,2010-04-09,65.86,2.77,210.6228574,7.808,False,A,151315
1,2010-04-16,66.32,2.808,210.4887,7.808,False,A,151315
1,2010-04-23,64.84,2.795,210.4391228,7.808,False,A,151315
1,2010-04-30,67.41,2.78,210.3895456,7.808,False,A,151315
1,2010-05-07,72.55,2.835,210.3399684,7.808,False,A,151315
1,2010-05-14,74.78,2.854,210.3374261,7.808,False,A,151315
1,2010-05-21,76.44,2.826,210.6170934,7.808,False,A,151315
1,2010-05-28,80.44,2.759,210.8967606,7.808,False,A,151315
1,2010-06-04,80.69,2.705,211.1764278,7.808,False,A,151315
1,2010-06-11,80.43,2.668,211.4560951,7.808,False,A,151315
1,2010-06-18,84.11,2.637,211.4537719,7.808,False,A,151315
1,2010-06-25,84.34,2.653,211.3386526,7.808,False,A,151315
1,2010-07-02,80.91,2.669,211.2235333,7.787,False,A,151315
1,2010-07-09,80.48,2.642,211.108414,7.787,False,A,151315
1,2010-07-16,83.15,2.623,211.1003854,7.787,False,A,151315
1,2010-07-23,83.36,2.608,211.2351443,7.787,False,A,151315
1,2010-07-30,81.84,2.64,211.3699032,7.787,False,A,151315
1,2010-08-06,87.16,2.627,211.5046621,7.787,False,A,151315
1,2010-08-13,87.0,2.692,211.6394211,7.787,False,A,151315
1,2010-08-20,86.65,2.664,211.6033633,7.787,False,A,151315
1,2010-08-27,85.22,2.619,211.5673056,7.787,False,A,151315
1,2010-09-03,81.21,2.577,211.5312479,7.787,False,A,151315
1,2010-09-10,78.69,2.565,211.4951902,7.787,True,A,151315
1,2010-09-17,82.11,2.582,211.5224596,7.787,False,A,151315
1,2010-09-24,80.94,2.624,211.5972246,7.787,False,A,151315
1,2010-10-01,71.89,2.603,211.6719895,7.838,False,A,151315
1,2010-10-08,63.93,2.633,211.7467544,7.838,False,A,151315
1,2010-10-15,67.18,2.72,211.8137436,7.838,False,A,151315
1,2010-10-22,69.86,2.725,211.8612937,7.838,False,A,151315
1,2010-10-29,69.64,2.716,211.9088438,7.838,False,A,151315
1,2010-11-05,58.74,2.689,211.9563939,7.838,False,A,151315
1,2010-11-12,59.61,2.728,212.003944,7.838,False,A,151315
1,2010-11-19,51.41,2.771,211.8896737,7.838,False,A,151315
