,Store,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Size,Year,Month,Day,IsHoliday_True,Type_B,Type_C
Store,1.0,0.024010528625436553,-0.08373239847899887,-0.05225118260073006,0.06498436061095401,-0.21094904776702744,0.20867060116032918,-0.18288146007993056,0.0029970230200552055,0.0010105857339461758,-1.4756486023175525e-05,-0.0005479880033972401,-0.23346138503620356,0.4390041431180612
Dept,0.024010528625436553,1.0,0.14331917192123358,0.0043825540838571785,0.00351448567714553,-0.007482905965906243,0.007874440330003623,-0.003021685965448746,0.003687654755024423,0.0008940710829151567,-0.0006644576717804515,0.000905761112909872,-0.029919710418090367,0.028344180337437262
Weekly_Sales,-0.08373239847899887,0.14331917192123358,1.0,0.0005759416764712618,0.001502476069144149,-0.02280690949216964,-0.02532295846342854,0.252589894382126,-0.009287493411704635,0.025577509135968318,-0.007981881532702568,0.00794844188995277,-0.13470514323364166,-0.0990540846128719
Temperature,-0.05225118260073006,0.0043825540838571785,0.0005759416764712618,1.0,0.14201102704767665,0.18460754424554507,0.09551100230233285,-0.059286668002434505,0.06647589322765846,0.234499354342297,0.025848220889285685,-0.15673015608350999,-0.1077402615697526,0.13570924620209265
Fuel_Price,0.06498436061095401,0.00351448567714553,0.001502476069144149,0.14201102704767665,1.0,-0.16260900466347292,-0.03493773466329093,0.004467592348587679,0.7803150558511243,-0.04218616124083966,0.028012536132855256,-0.07783904783503157,0.037372175822634766,0.0013693936337250384
CPI,-0.21094904776702744,-0.007482905965906243,-0.02280690949216964,0.18460754424554507,-0.16260900466347292,1.0,-0.3001901432698648,-0.003307085676862554,0.07433460062653245,0.0051302682146985015,0.0027014411462714864,-0.0019340202618816946,-0.0818830590912101,-0.006557060094882375
Unemployment,0.20867060116032918,0.007874440330003623,-0.02532295846342854,0.09551100230233285,-0.03493773466329093,-0.3001901432698648,1.0,-0.06809862172117392,-0.23675413109774807,-0.012963368887644107,-0.003802173369919087,0.010305064577611467,-0.01357395209468122,0.17529063806390272
Size,-0.18288146007993056,-0.003021685965448746,0.252589894382126,-0.059286668002434505,0.004467592348587679,-0.003307085676862554,-0.06809862172117392,1.0,-0.004975023454529794,-0.001209951672845037,-0.0003855656260336389,0.0005930379491883608,-0.4556463093708727,-0.5288519709271298
Year,0.0029970230200552055,0.003687654755024423,-0.009287493411704635,0.06647589322765846,0.7803150558511243,0.07433460062653245,-0.23675413109774807,-0.004975023454529794,1.0,-0.19428822853645866,0.005835078032822374,-0.05674571655999948,-0.000732012492960837,0.005243787582369659
Month,0.0010105857339461758,0.0008940710829151567,0.025577509135968318,0.234499354342297,-0.04218616124083966,0.0051302682146985015,-0.012963368887644107,-0.001209951672845037,-0.19428822853645866,1.0,0.016362575869803095,0.1233757956948163,1.851663844920818e-05,-9.169469200998879e-05
Day,-1.4756486023175525e-05,-0.0006644576717804515,-0.007981881532702568,0.025848220889285685,0.028012536132855256,0.0027014411462714864,-0.003802173369919087,-0.0003855656260336389,0.005835078032822374,0.016362575869803095,1.0,0.04546547636692758,0.000502971902166699,-9.834491839082023e-05
IsHoliday_True,-0.0005479880033972401,0.000905761112909872,0.00794844188995277,-0.15673015608350999,-0.07783904783503157,-0.0019340202618816946,0.010305064577611467,0.0005930379491883608,-0.05674571655999948,0.1233757956948163,0.04546547636692758,1.0,0.00016655441194957527,-0.001017333281255497
Type_B,-0.23346138503620356,-0.029919710418090367,-0.13470514323364166,-0.1077402615697526,0.037372175822634766,-0.0818830590912101,-0.01357395209468122,-0.4556463093708727,-0.000732012492960837,1.851663844920818e-05,0.000502971902166699,0.00016655441194957527,1.0,-0.2668484238156089
Type_C,0.4390041431180612,0.028344180337437262,-0.0990540846128719,0.13570924620209265,0.0013693936337250384,-0.006557060094882375,0.17529063806390272,-0.5288519709271298,0.005243787582369659,-9.169469200998879e-05,-9.834491839082023e-05,-0.001017333281255497,-0.2668484238156089,1.0
